"subject" "activity" "tbodyaccmeanx" "tbodyaccmeany" "tbodyaccmeanz" "tbodyaccstdx" "tbodyaccstdy" "tbodyaccstdz" "tgravityaccmeanx" "tgravityaccmeany" "tgravityaccmeanz" "tgravityaccstdx" "tgravityaccstdy" "tgravityaccstdz" "tbodyaccjerkmeanx" "tbodyaccjerkmeany" "tbodyaccjerkmeanz" "tbodyaccjerkstdx" "tbodyaccjerkstdy" "tbodyaccjerkstdz" "tbodygyromeanx" "tbodygyromeany" "tbodygyromeanz" "tbodygyrostdx" "tbodygyrostdy" "tbodygyrostdz" "tbodygyrojerkmeanx" "tbodygyrojerkmeany" "tbodygyrojerkmeanz" "tbodygyrojerkstdx" "tbodygyrojerkstdy" "tbodygyrojerkstdz" "tbodyaccmagmean" "tbodyaccmagstd" "tgravityaccmagmean" "tgravityaccmagstd" "tbodyaccjerkmagmean" "tbodyaccjerkmagstd" "tbodygyromagmean" "tbodygyromagstd" "tbodygyrojerkmagmean" "tbodygyrojerkmagstd" "fbodyaccmeanx" "fbodyaccmeany" "fbodyaccmeanz" "fbodyaccstdx" "fbodyaccstdy" "fbodyaccstdz" "fbodyaccmeanfreqx" "fbodyaccmeanfreqy" "fbodyaccmeanfreqz" "fbodyaccjerkmeanx" "fbodyaccjerkmeany" "fbodyaccjerkmeanz" "fbodyaccjerkstdx" "fbodyaccjerkstdy" "fbodyaccjerkstdz" "fbodyaccjerkmeanfreqx" "fbodyaccjerkmeanfreqy" "fbodyaccjerkmeanfreqz" "fbodygyromeanx" "fbodygyromeany" "fbodygyromeanz" "fbodygyrostdx" "fbodygyrostdy" "fbodygyrostdz" "fbodygyromeanfreqx" "fbodygyromeanfreqy" "fbodygyromeanfreqz" "fbodyaccmagmean" "fbodyaccmagstd" "fbodyaccmagmeanfreq" "fbodybodyaccjerkmagmean" "fbodyaccjerkmagstd" "fbodyaccjerkmagmeanfreq" "fbodygyromagmean" "fbodygyromagstd" "fbodygyromagmeanfreq" "fbodygyrojerkmagmean" "fbodygyrojerkmagstd" "fbodygyrojerkmagmeanfreq" "angletbodyaccmeangravity" "angletbodyaccjerkmeangravitymean" "angletbodygyromeangravitymean" "angletbodygyrojerkmeangravitymean" "anglexgravitymean" "angleygravitymean" "anglezgravitymean"
"1" 1 "LAYING" 0.287406656666667 -0.0134461356958333 -0.103075631492125 -0.604260153854167 -0.546681160745833 -0.637709885891667 0.714686410375 -0.0361490951791667 0.0256954989125 -0.970508597291667 -0.964486007291667 -0.936885200625 0.120688388206042 -0.0177913664541667 -0.0166762012808333 -0.629578087458333 -0.629303407604167 -0.790655385 -0.0422819920708333 -0.0814250528541667 0.09837284480625 -0.714465188520833 -0.685789616916667 -0.673246705875 -0.10677759485625 -0.0223359447020833 -0.0609115948416667 -0.740817421875 -0.798318298166667 -0.745232414916667 -0.5646800637125 -0.589603994640417 -0.5646800637125 -0.589603994640417 -0.6633415071875 -0.622918011145833 -0.615252892333333 -0.66748525701875 -0.774698345375 -0.7835393569375 -0.605690598604167 -0.558175496758333 -0.7013288215625 -0.604833125 -0.5703204144875 -0.636339475020833 -0.193005417610417 0.0136822571127083 -0.0161325451 -0.647245989833333 -0.646570461041667 -0.77427239375 -0.645164334541667 -0.636453946064583 -0.805587779375 -0.0674164511666667 -0.23160441320625 -0.156096762666667 -0.671768669020833 -0.713656585827083 -0.661563062225 -0.7305150428125 -0.675734860333333 -0.7083765975 -0.1783600526875 -0.186913614245833 -0.0801058294833333 -0.585940397604167 -0.656336039145833 0.0890765184270833 -0.6253099470875 -0.622178998854167 0.134079569020833 -0.705834957395833 -0.701841274166667 -0.0916491916875 -0.786636448708333 -0.79488680971875 0.0791695050025 -0.0661510837283333 -0.0383891700645833 0.0865135830583333 0.0179804101041667 -0.530394560208333 0.0872111970229167 0.002176804825
"2" 2 "LAYING" 0.271138893518518 -0.0101865902807407 -0.106887354055556 -0.684757097 -0.566661222814815 -0.661788147074074 0.625727842407407 0.036440597 0.0870259651703704 -0.977789917777778 -0.945715134074074 -0.958294283148148 0.0613427193888889 -0.000236044542592592 -0.0236450566672222 -0.691596657277778 -0.655535741555556 -0.77131460976037 -0.0299475792833333 -0.0854280286851852 0.0798455630925926 -0.764414337314815 -0.726440830222222 -0.696952636185185 -0.0858714444444444 -0.0385134210759259 -0.0797140093848148 -0.765828913703704 -0.788207697703704 -0.764095413592593 -0.618686892625926 -0.639382799518519 -0.618686892625926 -0.639382799518519 -0.695720332407407 -0.656799174462963 -0.670452039814815 -0.699923740425926 -0.778283994481481 -0.784181315592593 -0.685909399740741 -0.595386082518519 -0.689800028185185 -0.685309931462963 -0.580409261944444 -0.67402533432963 -0.181037515722222 0.0652852290962963 0.09399271495 -0.700951112475926 -0.67247166167037 -0.751783553759259 -0.710260088146296 -0.660989282759259 -0.790046333148148 0.0223317696851852 -0.18815444862963 -0.0742133859551852 -0.713495405018518 -0.731256622055556 -0.685383130433333 -0.782216611 -0.726852915114815 -0.730011729425926 -0.0285841118611111 -0.144694404416667 -0.0194750894814815 -0.628723519703704 -0.703273707666667 0.117304065383333 -0.647584081801852 -0.671703561816667 0.220946825 -0.72167122012963 -0.738866433222222 0.0353834697092593 -0.785562983648148 -0.79836300712963 0.163432089412963 0.0368530650381481 0.0617328635740741 -0.000584681629629627 -0.08439945105 -0.461634363518519 0.0337263202592593 -0.0514593743111111
"3" 3 "LAYING" 0.289869035925926 -0.0117570046339506 -0.112911570740741 -0.527427986567901 -0.435633981120988 -0.558249447567901 0.662797439012346 -0.00619989391234568 0.113459417082099 -0.965276515185185 -0.949883334197531 -0.941312798888889 0.078027860845679 0.0150641483888889 -0.0190931543736667 -0.563922461839506 -0.532513963906173 -0.713356990308642 -0.0324120617864198 -0.0673018469753086 0.105020676434568 -0.679662191269136 -0.628793169938272 -0.622851403592593 -0.0890120596695062 -0.0656236479201235 -0.0528088484555556 -0.680480058277778 -0.744815514271605 -0.692491200740741 -0.46401123754321 -0.500287552160494 -0.46401123754321 -0.500287552160494 -0.58114262008642 -0.541190080177778 -0.5483540122 -0.61872921654321 -0.717528500493827 -0.738235890037037 -0.539782964717284 -0.458173536222222 -0.611690532296296 -0.524472266679012 -0.461377467004938 -0.567752177883951 -0.243733421550617 -0.00202575299135802 0.0260435217555556 -0.579695906807407 -0.559777765234568 -0.691038467839506 -0.588140910440741 -0.534770242530864 -0.734393762296296 -0.0620447489580247 -0.236868700555556 -0.136906033369136 -0.613419457234568 -0.654264115762346 -0.599842926493827 -0.701862388666667 -0.620344633432099 -0.667522984851852 -0.104691029469136 -0.150940317098765 -0.0881348911802469 -0.496773773925926 -0.58218202912716 0.00205261506049383 -0.539646969899012 -0.547078779333333 0.125339592269136 -0.649278341938272 -0.666124140123457 -0.0676553238950617 -0.743074992962963 -0.751412559666667 0.0954635869518519 -0.0611692979074074 -0.0320352836814815 0.0714653459493827 -0.00300249869135803 -0.501379716790123 0.0727189616049383 -0.0769858501549383
"4" 4 "LAYING" 0.276772315555556 -0.0187283252333333 -0.110204742240741 -0.673491842759259 -0.596852333833333 -0.662017199512963 0.651934815574074 0.0592078397962963 0.143239731407407 -0.976977083518519 -0.971860241666667 -0.950867051296296 0.0772214288592593 0.00821783084444445 -0.0278710327990741 -0.692539266277778 -0.676024812464815 -0.784312487314815 -0.0910815705759259 -0.0558104869425926 0.0927048826611111 -0.767754823888889 -0.745169284735185 -0.698771786018519 -0.1029372957 -0.0325560184333333 -0.0624060529074074 -0.794814047777778 -0.820747665962963 -0.789654508444444 -0.622446248357407 -0.673335571696296 -0.622446248357407 -0.673335571696296 -0.694439948168519 -0.700991021 -0.671892894603889 -0.726294678092593 -0.805101033148148 -0.823758533666667 -0.691432362555556 -0.621639559055556 -0.698518794272222 -0.668039536759259 -0.610151576166667 -0.66968756337037 -0.221628745309259 -0.0253950537703704 0.0429648323203704 -0.71006919487037 -0.69340796312037 -0.766426554777778 -0.702528128592593 -0.678901119648148 -0.801309384944444 -0.0352498576518519 -0.248793328777778 -0.139180984042593 -0.734113812055556 -0.75420066555 -0.693021456962963 -0.779553454814815 -0.742882871777778 -0.729551172222222 -0.11338682859 -0.218460985948148 -0.0587545045761111 -0.66170462637037 -0.731966731351852 0.0611293409074074 -0.690038543833333 -0.718068082296296 0.188729223047407 -0.752209864037037 -0.757382855740741 -0.0616393991505556 -0.82311431687037 -0.837904950537037 0.137544588285185 -0.0557973102796296 -0.0186508925009259 0.244239846924074 -0.0154401584444444 -0.470338730925926 0.0249965757833333 -0.0933814753542593
"5" 5 "LAYING" 0.250397955818182 -0.00941674590878788 -0.106138551893939 -0.650015070772727 -0.562959819545454 -0.666226354651515 0.759133340484848 -0.0315942353181818 0.0743070988045454 -0.974397220151515 -0.948174856212121 -0.943050467727273 0.0845368290454546 0.00891111940757576 -0.00428907548136364 -0.667403518951515 -0.654082482681818 -0.789473574318182 -0.0165765314181818 -0.070907435580303 0.0676566792804545 -0.733960215272727 -0.73345638430303 -0.72771783385303 -0.101898590125758 -0.0513834451212121 -0.0799430908015152 -0.756535396818182 -0.810911198772727 -0.77092806 -0.602836026348485 -0.617952234348485 -0.602836026348485 -0.617952234348485 -0.68653130869697 -0.655028684727273 -0.655329215924242 -0.706574707090909 -0.791813413409091 -0.799547276181818 -0.652249626577273 -0.583913710560606 -0.704932983651515 -0.649837464984849 -0.580535589257576 -0.672678769051515 -0.20875145130303 0.00629204257424242 0.0278989127833333 -0.679385249863636 -0.672438387736364 -0.772274128606061 -0.685360215606061 -0.658448923757576 -0.805525186939394 -0.0206348546242424 -0.22030603920303 -0.12704637130303 -0.698114735257576 -0.749315393030303 -0.703687115 -0.747407569560606 -0.728780444651515 -0.76251326580303 -0.108916931525758 -0.203382757987879 -0.0435079575166667 -0.609296437559394 -0.683472413772727 0.0535582161075758 -0.655194749515152 -0.657679305363636 0.192437484242424 -0.737012240543939 -0.739141389242424 -0.0423849788212121 -0.803403969560606 -0.808945709393939 0.123572449212121 0.164879139186364 -0.0326342450075758 0.0213498829848485 -0.104514819109091 -0.583852310318182 0.0913411568363636 -0.042839845819697
"6" 6 "LAYING" 0.249921988222222 -0.020638748414 -0.104169959822222 -0.655921992822222 -0.522742510577778 -0.646270032586667 0.759394508666667 -0.0838680262955556 0.0710573442555556 -0.972888382 -0.943461774888889 -0.934606623333333 0.146245848444444 0.0404568605684444 0.0290016548966667 -0.667499979111111 -0.618971438133333 -0.789302178 -0.0767916683755556 -0.0375529141706667 0.0418216266 -0.723871362444444 -0.696997287866667 -0.680532972755556 -0.0585035344081556 -0.0319699492666667 -0.0544556334 -0.732978873111111 -0.7930003006 -0.744199693447556 -0.587959004644445 -0.623653162888889 -0.587959004644445 -0.623653162888889 -0.677448639266667 -0.644223162022222 -0.620767806302222 -0.663055520177778 -0.769916316444444 -0.775823787733333 -0.648643832311111 -0.557148439916889 -0.700204245822222 -0.659672740133333 -0.537280673733333 -0.648110229822222 -0.213760487844444 -0.0398765617555556 -0.0194417976666667 -0.67898724 -0.644683324977778 -0.773932370977778 -0.685687344533333 -0.616846200577778 -0.803630268888889 -0.0675951403533333 -0.274680534382222 -0.1299663386 -0.685866891511111 -0.7193334152 -0.664533320488889 -0.738394669977778 -0.688925840755556 -0.717408023111111 -0.172586163333333 -0.222697870651111 -0.100744191091111 -0.6174310516 -0.687917015511111 0.0172398098311111 -0.638766076322222 -0.654790027355556 0.136388932644444 -0.696458952066667 -0.700975500288889 -0.103764517066667 -0.778022464044444 -0.789851385111111 0.0787879065533333 0.202472419933333 -0.160488546675556 0.0627082889333333 -0.25094424112 -0.590640257777778 0.129197356244444 -0.0395376232355556
"7" 7 "LAYING" 0.267611878163265 -0.0175010610571429 -0.109584433836735 -0.683900064632653 -0.609663419693878 -0.682672340734694 0.58163460755102 0.0506471897755102 0.101204102918367 -0.977441375306122 -0.97201043122449 -0.955010284489796 0.0870546125306123 0.018122611902449 0.0182260816759184 -0.701820087918367 -0.680215365938776 -0.800991843408163 -0.017531972522449 -0.0789147438979592 0.0750329293081633 -0.767243505014286 -0.721024827142857 -0.729231628367347 -0.0854657447244898 -0.0590525152918367 -0.066292506355102 -0.770678638571429 -0.805487101653061 -0.783323484938775 -0.636995490693878 -0.674007912620408 -0.636995490693878 -0.674007912620408 -0.708529581326531 -0.699140181285714 -0.678831986163265 -0.709061763367347 -0.791886304265306 -0.79822542155102 -0.700999710734694 -0.627479345132653 -0.720098513897959 -0.678260425061225 -0.625898352693878 -0.689466877244898 -0.207282884595918 0.0460091517040816 0.0973661049387755 -0.719836177061224 -0.695844592897959 -0.783117095673469 -0.710120896387755 -0.685159289326531 -0.817447660877551 0.0379542816530612 -0.156218178612245 -0.0550100704653061 -0.729421378346939 -0.743052544040816 -0.72103742577551 -0.782089406489796 -0.713125183346939 -0.758739491734694 -0.101295744169388 -0.17641116522449 -0.0202125300838776 -0.662057849018367 -0.733582179959184 0.141191464097959 -0.691049451142857 -0.711721634097143 0.225714979077551 -0.73567733822449 -0.744507284389796 -0.0157647954673469 -0.797762240204082 -0.813416179979592 0.167138859169388 0.0686230528183673 -0.0791114398591837 -0.0862180522102041 -0.0067632836632653 -0.399103663877551 0.0248897255591837 -0.0593235143959184
"8" 8 "LAYING" 0.277222896911765 -0.0178461888635294 -0.106832711091176 -0.724849965014706 -0.621283641882353 -0.729586103632353 0.623158403426471 0.0328552898647059 0.149743878616176 -0.977677726323529 -0.968558526470588 -0.954524803235294 0.0671299547647059 0.0311925837794118 -0.0192698932748529 -0.754124057617647 -0.716266358120603 -0.844170011617647 -0.00686176929264706 -0.0963674078264706 0.0856872536470588 -0.785009911161765 -0.776198089441177 -0.723507692823529 -0.107572390779412 -0.0431748905441176 -0.0403019565147059 -0.796785485985294 -0.850094984411765 -0.808252143617647 -0.675161307647059 -0.717075016058824 -0.675161307647059 -0.717075016058824 -0.756251150734706 -0.747633027426471 -0.711524212838235 -0.746253651911765 -0.830324613970588 -0.838215332236765 -0.735817825485294 -0.650408694698529 -0.770708259485294 -0.721118472676471 -0.631183733433824 -0.730021211764706 -0.152158182985294 0.0543193140279412 0.0708476007794118 -0.762191628941176 -0.727606518455882 -0.833316768823529 -0.767935835808824 -0.724042284191176 -0.853717397058824 0.0288300106794118 -0.125445278683824 -0.0882979314514706 -0.757221051382353 -0.793188081955882 -0.728309488823529 -0.795673836132353 -0.769391615241176 -0.748753975161765 -0.0869141514852941 -0.169556017458824 -0.0277658167911765 -0.710485060558824 -0.765786513941176 0.116832551308529 -0.740077935485294 -0.759706285989706 0.218310116297059 -0.776648665794118 -0.771877044544118 -0.0313402526117647 -0.840454890147059 -0.847044284161765 0.122547527249721 0.00116028675779412 0.0772074451911765 -0.00503827804411765 -0.03487133875 -0.462490483235294 0.0377534348970588 -0.0964391244161765
"9" 9 "LAYING" 0.252884366944444 -0.0240774705558333 -0.110721685472222 -0.553688145916667 -0.370579811463889 -0.565155422388889 0.746454083333333 -0.178261293305556 0.117244500925 -0.973009601944444 -0.959720661666667 -0.945532896944444 0.0425050574194445 0.0535463742861111 0.0317322793391667 -0.579612404222222 -0.501169884166667 -0.755451851944444 -0.0144148975666667 -0.0770522450777778 0.0665957740833333 -0.621049171777778 -0.61888939825 -0.577414166138889 -0.0623303121944444 -0.0951155670777778 -0.0200734105111111 -0.657033942055556 -0.768522781944444 -0.700154250833333 -0.46511928975 -0.559682761083333 -0.46511928975 -0.559682761083333 -0.584951607833333 -0.570868043527778 -0.520491733333333 -0.58625393 -0.721718416666667 -0.758913511388889 -0.566644025138889 -0.407157228463889 -0.632699168888889 -0.550801436583333 -0.39324521235 -0.565086763111111 -0.261082039769444 -0.0271404354611111 -0.0261630719991667 -0.604381548916667 -0.522069296166667 -0.734514766666667 -0.591969649222222 -0.513158660805556 -0.775133556666667 -0.121349679916667 -0.288744944463889 -0.199649413080556 -0.568434729361111 -0.658948936027778 -0.567885326980556 -0.639806431111111 -0.600886415063889 -0.622550880222222 -0.188865067902778 -0.234744867444444 -0.04855553935 -0.538922631777778 -0.642513585 0.0453729931583333 -0.562588875641667 -0.584823322805556 0.117095522833333 -0.640698428 -0.624825924305556 -0.105328483436111 -0.761756720833333 -0.77310684 0.08701165175 0.215517564167778 0.0361551492611111 -0.00785138925 -0.112684069222222 -0.557223346111111 0.209778348027778 -0.0749548201019444
"10" 10 "LAYING" 0.288411504603175 -0.0163662551773016 -0.109020479888889 -0.556183390047619 -0.382620443941111 -0.501917840787302 0.580094821904762 0.0557711362222222 0.0855675395288889 -0.968096066507937 -0.956294166825397 -0.94980168 0.0609001106142857 -0.0367296514754127 -0.0331560852286825 -0.575016979031746 -0.49894394415873 -0.699478620238095 -0.0104957362222222 -0.0710103641126984 0.101904923746032 -0.647886923015873 -0.604706174723809 -0.562094578460318 -0.110359470555556 -0.0568982350028571 -0.0808423385019048 -0.656626186063492 -0.725395369746032 -0.671666969639683 -0.464887907752381 -0.537875711814286 -0.464887907752381 -0.537875711814286 -0.565658397650794 -0.547070728142857 -0.515837823031746 -0.589441862888889 -0.696037991428571 -0.712088062746032 -0.572148804 -0.423704309269841 -0.581214088777778 -0.551543590428571 -0.401282803063492 -0.500618093268254 -0.332819791793651 0.00097615347142857 0.00488979366444444 -0.601067960873016 -0.538982723920635 -0.680959275587302 -0.586666006809524 -0.489856188301587 -0.71684788184127 -0.153435693046349 -0.252150117026984 -0.187831083330159 -0.595195902111111 -0.642652937857143 -0.556447337095238 -0.667546174444444 -0.588869936793651 -0.606225364761905 -0.10297845707619 -0.187873706873016 -0.0429426494111111 -0.530453327539683 -0.615584159603175 0.0343354293650794 -0.547004771871429 -0.551807890206349 0.144172205631746 -0.628916752436508 -0.636398439746032 -0.0118659848365079 -0.722369911857143 -0.720716426349206 0.116071918625397 -0.108173396601587 -0.012500127247619 -0.0624849256698413 0.0862613547380952 -0.404982413333333 0.0183824344603175 -0.0504587114634921
